,average,country,genre,language,release_date,title,votes
479,7.3, 美国 / 中国大陆,"['剧情', '家庭']", 英语 / 汉语普通话 / 日语,2019-11-22,别告诉她 The Farewell,68573.0
480,7.6, 美国,"['动作', '科幻', '冒险']", 英语 / 俄语 / 汉语普通话 / 西班牙语,2004-08-05,蜘蛛侠2 Spider-Man 2,205705.0
481,4.8, 中国大陆,"['喜剧', '爱情']", 汉语普通话,2015-07-09,小时代4：灵魂尽头,145967.0
482,6.8, 中国大陆,"['剧情', '喜剧', '悬疑']", 汉语普通话,2016-12-30,你好，疯子！,78391.0
483,7.3, 美国,"['奇幻', '冒险']", 英语,2010-03-26,爱丽丝梦游仙境 Alice in Wonderland,327379.0
484,7.0, 中国大陆 / 印度 / 中国香港 / 美国,"['剧情', '喜剧', '家庭']", 英语,2019-05-17,一条狗的使命2 A Dog's Journey,93835.0
485,8.9, 美国,"['剧情', '家庭']", 英语,2001-12-03,我是山姆 I Am Sam,220512.0
486,7.5, 美国,"['动画', '奇幻', '冒险']", 英语,2019-03-01,驯龙高手3 How to Train Your Dragon: The Hidden World,201430.0
487,9.2, 美国 / 意大利,"['剧情', '犯罪']", 英语 / 法语 / 意大利语,1984-02-17,美国往事 Once Upon a Time in America,305780.0
488,8.3, 美国 / 加拿大 / 英国,"['剧情', '科幻', '惊悚']", 英语 / 芬兰语 / 日语 / 匈牙利语 / 俄语 / 索马里语,2017-10-27,银翼杀手2049 Blade Runner 2049,345622.0
489,7.2, 中国大陆,"['剧情', '动作', '武侠', '古装']", 汉语普通话,2017-07-19,绣春刀II：修罗战场,327131.0
490,7.9, 美国,['喜剧'], 英语,2015-09-25,实习生 The Intern,207816.0
491,6.1, 美国 / 英国,"['奇幻', '冒险']", 英语,2019-10-18,沉睡魔咒2 Maleficent: Mistress of Evil,134504.0
492,7.9, 中国大陆,"['剧情', '喜剧', '悬疑']", 汉语普通话,2019-11-29,平原上的夏洛克,97558.0
493,8.1, 英国 / 德国 / 法国 / 美国,"['动作', '科幻', '恐怖']", 英语,2002-03-15,生化危机 Resident Evil,225560.0
494,7.2, 中国香港 / 中国大陆,"['动作', '犯罪']", 粤语 / 汉语普通话,2017-09-30,追龙 追龍,274688.0
495,5.5, 中国大陆,['爱情'], 汉语普通话,2014-12-05,匆匆那年,220497.0
496,9.1, 中国大陆,"['动画', '奇幻', '冒险']", 汉语普通话,1979-05-19,哪吒闹海,179200.0
497,8.3, 中国香港,"['剧情', '喜剧']", 粤语 / 日语 / 英语,1989-12-14,赌神 賭神,162058.0
498,6.4, 中国大陆 / 中国香港,"['喜剧', '爱情']", 汉语普通话 / 英语 / 粤语,2016-04-29,北京遇上西雅图之不二情书,220578.0
499,8.7, 美国 / 德国,"['动作', '悬疑', '惊悚']", 英语 / 俄语 / 德语 / 意大利语,2004-11-14,谍影重重2 The Bourne Supremacy,264291.0
500,6.9, 美国 / 中国大陆,"['剧情', '动作', '科幻']", 英语,2019-10-18,双子杀手 Gemini Man,280070.0
501,8.5, 日本,"['喜剧', '动画', '冒险']", 日语,1992-07-18,红猪 紅の豚,143845.0
502,7.8, 美国,"['动作', '惊悚', '犯罪']", 英语 / 俄语 / 西班牙语 / 印度尼西亚语 / 丹麦语 / 粤语,2013-07-26,速度与激情6 Furious 6,222499.0
503,8.9, 澳大利亚,"['剧情', '喜剧', '动画']", 英语 / 意第绪语,2009-01-15,玛丽和马克思 Mary and Max,336340.0
504,7.9, 英国,"['剧情', '爱情']", 英语,2016-06-03,遇见你之前 Me Before You,216463.0
505,8.8, 美国,"['剧情', '同性', '传记']", 英语 / 日语,2013-09-07,达拉斯买家俱乐部 Dallas Buyers Club,328959.0
506,7.6, 美国,"['喜剧', '动画']", 英语 / 西班牙语,2015-09-13,小黄人大眼萌 Minions,215461.0
507,7.9, 美国 / 中国香港 / 中国台湾,"['剧情', '动作', '冒险']", 英语 / 波尼语 / 法语,2016-03-18,荒野猎人 The Revenant,330900.0
508,7.7, 中国大陆 / 中国香港,"['剧情', '历史', '灾难']", 汉语普通话 / 唐山话,2010-07-22,唐山大地震,352986.0
509,6.9, 美国 / 马耳他,"['剧情', '悬疑', '犯罪']", 英语 / 法语 / 德语 / 阿拉伯语,2017-11-10,东方快车谋杀案 Murder on the Orient Express,246312.0
510,4.9, 美国 / 中国大陆 / 加拿大,"['动作', '科幻']", 英语,2017-06-23,变形金刚5：最后的骑士 Transformers: The Last Knight,202724.0
511,6.1, 中国大陆 / 中国香港,"['动作', '悬疑', '奇幻', '武侠', '古装']", 汉语普通话,2018-07-27,狄仁杰之四大天王,236454.0
512,7.2, 中国大陆,"['剧情', '悬疑', '犯罪']", 汉语普通话 / 粤语,2019-04-04,风中有朵雨做的云,323788.0
513,8.8, 美国,"['剧情', '传记', '犯罪']", 英语 / 意大利语 / 拉丁语 / 西班牙语,2019-09-27,爱尔兰人 The Irishman,192520.0
514,9.0, 中国台湾 / 日本,"['剧情', '爱情', '家庭']", 汉语普通话 / 闽南语 / 英语 / 日语,2017-07-28,一一,258229.0
515,7.1, 美国,"['动作', '惊悚', '犯罪']", 英语 / 印地语 / 孟加拉语,2020-04-24,惊天营救 Extraction,61223.0
516,7.7, 中国香港 / 中国大陆,"['剧情', '动作', '传记', '历史']", 粤语 / 汉语普通话 / 日语,2008-12-12,叶问 葉問,298015.0
517,6.7, 中国大陆,"['剧情', '爱情']", 汉语普通话,2018-11-09,你好，之华,226923.0
518,8.3, 美国 / 阿联酋 / 捷克 / 俄罗斯 / 印度 / 加拿大,"['动作', '惊悚', '冒险']", 英语 / 俄语 / 法语 / 阿拉伯语 / 瑞典语,2012-01-28,碟中谍4 Mission: Impossible - Ghost Protocol,354787.0
519,7.9, 中国香港 / 中国台湾,"['爱情', '音乐', '奇幻']", 汉语普通话 / 英语,2007-07-27,不能说的秘密 不能說的·祕密,375710.0
520,8.2, 美国 / 加拿大 / 德国,"['悬疑', '惊悚', '恐怖']", 英语 / 美国手语 / 爱沙尼亚语,2009-07-24,孤儿怨 Orphan,341457.0
521,8.2, 美国,"['科幻', '惊悚', '冒险']", 英语 / 西班牙语,2013-08-20,侏罗纪公园 Jurassic Park,247566.0
522,7.8, 美国 / 德国,"['动作', '犯罪']", 英语,2001-06-22,速度与激情 The Fast and the Furious,150844.0
523,8.1, 美国 / 英国,"['动作', '科幻', '惊悚']", 英语 / 西班牙语,1992-06,终结者 The Terminator,160882.0
524,7.9, 印度,"['剧情', '喜剧']", 印地语 / 英语,2018-04-04,起跑线 Hindi Medium,163551.0
525,6.7, 中国大陆 / 中国香港,"['喜剧', '动作', '冒险']", 英语 / 汉语普通话 / 粤语 / 法语 / 西班牙语,2012-12-12,十二生肖,276257.0
526,5.6, 日本,"['剧情', '悬疑', '惊悚']", 日语,2019-12-13,尸人庄杀人事件 屍人荘の殺人,2546.0
527,9.0, 日本,"['动画', '悬疑', '冒险']", 日语,2002-04-20,名侦探柯南：贝克街的亡灵 名探偵コナン ベイカー街の亡霊,148082.0
528,5.9, 中国大陆 / 中国香港,"['动作', '悬疑', '犯罪']", 汉语普通话,2017-12-22,心理罪之城市之光,127543.0
529,7.9, 美国,"['喜剧', '动作', '动画', '冒险']", 英语,2018-06-22,超人总动员2 Incredibles 2,214169.0
530,7.8, 西班牙,"['科幻', '悬疑', '惊悚']", 西班牙语,2019-03-28,海市蜃楼 Durante la tormenta,275398.0
531,4.9, 中国大陆 / 中国台湾,"['剧情', '喜剧', '爱情']", 汉语普通话,2013-08-08,小时代2：青木时代,202159.0
532,4.2, 中国大陆,['喜剧'], 汉语普通话,2015-12-24,恶棍天使,134784.0
533,7.7, 韩国,"['剧情', '动作', '犯罪']", 韩语,2019-05-15,恶人传 악인전,198263.0
534,8.2, 美国,"['喜剧', '动画', '冒险']", 英语,2013-08-23,怪兽大学 Monsters University,284257.0
535,8.1, 美国,"['喜剧', '动作', '科幻']", 英语 / 西班牙语,1997-07-02,黑衣人 Men in Black,255454.0
536,7.7, 中国大陆 / 美国,"['剧情', '历史', '战争']", 英语,2019-11-08,决战中途岛 Midway,175492.0
537,7.7, 美国,"['喜剧', '动画']", 英语,2016-08-02,爱宠大机密 The Secret Life of Pets,218385.0
538,7.0, 美国,"['动作', '科幻', '冒险']", 英语,2012-06-14,饥饿游戏 The Hunger Games,298791.0
539,6.3, 美国,"['动作', '犯罪']", 英语 / 萨摩亚语 / 俄语,2019-08-23,速度与激情：特别行动 Fast & Furious Presents: Hobbs & Shaw,205882.0
540,7.8, 美国 / 中国香港 / 中国大陆,"['动作', '惊悚', '冒险']", 英语 / 瑞典语 / 德语,2015-09-08,碟中谍5：神秘国度 Mission: Impossible - Rogue Nation,273663.0
541,6.5, 美国,"['动作', '科幻', '恐怖']", 英语,2017-02-24,生化危机：终章 Resident Evil: The Final Chapter,205645.0
542,7.5, 美国,"['动作', '科幻', '恐怖']", 英语 / 西班牙语 / 希伯来语 / 阿拉伯语,2013-06-02,僵尸世界大战 World War Z,202629.0
543,8.1, 美国,"['喜剧', '动画', '歌舞']", 英语 / 日语,2017-02-17,欢乐好声音 Sing,215149.0
544,7.9, 美国 / 英国,"['剧情', '爱情']", 英语,2011-08-19,一天 One Day,394458.0
545,9.0, 美国,"['悬疑', '惊悚', '恐怖']", 英语,1960-06-16,惊魂记 Psycho,170480.0
546,8.2, 韩国,"['剧情', '喜剧', '爱情']", 韩语 / 英语,2001-07-27,我的野蛮女友 엽기적인 그녀,382506.0
547,5.7, 中国大陆,"['剧情', '悬疑', '犯罪']", 汉语普通话,2018-04-28,幕后玩家,155096.0
548,7.8, 美国,"['动作', '犯罪']", 英语,2009-04-15,速度与激情4 Fast & Furious,132760.0
549,5.0, 中国大陆 / 印度,"['喜剧', '动作', '冒险']", 汉语普通话 / 英语 / 印地语 / 阿拉伯语,2017-01-28,功夫瑜伽,151688.0
550,7.4, 中国大陆 / 中国香港,"['剧情', '动作', '武侠', '古装']", 汉语普通话,2002-12-19,英雄,226039.0
551,8.8, 日本,['剧情'], 日语,2008-09-13,入殓师 おくりびと,453508.0
552,5.0, 中国大陆,"['剧情', '奇幻']", 汉语普通话,2017-12-29,解忧杂货店,138144.0
553,7.0, 中国大陆,"['剧情', '爱情', '科幻']", 汉语普通话,2019-12-13,被光抓走的人,147499.0
554,7.6, 美国,"['动作', '科幻', '冒险']", 英语 / 日语 / 粤语 / 汉语普通话 / 俄语,2013-07-31,环太平洋 Pacific Rim,374496.0
555,7.1, 日本,['爱情'], 日语,2019-08-23,火口的两人 火口のふたり,28751.0
556,4.2, 中国香港 / 中国大陆,"['喜剧', '动作']", 汉语普通话 / 粤语,2016-02-06,澳门风云3 賭城風雲III,114612.0
557,8.2, 中国大陆 / 法国,['剧情'], 汉语普通话,2017-11-24,嘉年华,214787.0
558,8.1, 中国大陆,"['剧情', '动作', '武侠']", 汉语普通话,2015-12-10,师父,234963.0
559,7.4, 中国大陆,"['剧情', '爱情']", 汉语普通话,2013-08-02,青春派,127341.0
560,6.6, 美国 / 中国大陆,"['动作', '科幻']", 英语 / 汉语普通话 / 粤语,2014-06-19,变形金刚4：绝迹重生 Transformers: Age of Extinction,274331.0
561,8.6, 美国,"['剧情', '科幻']", 英语,1982-05-26,E.T. 外星人 E.T.: The Extra-Terrestrial,263779.0
562,7.7, 美国,"['喜剧', '动作', '爱情']", 英语 / 西班牙语,2005-07-08,史密斯夫妇 Mr. & Mrs. Smith,376722.0
563,7.6, 中国香港,"['喜剧', '科幻', '奇幻']", 粤语 / 汉语普通话 / 英语,1995-08-19,百变星君 百變星君,210282.0
564,5.5, 中国香港 / 中国大陆,"['剧情', '动作', '犯罪']", 粤语 / 汉语普通话,2019-06-06,追龙Ⅱ 追龍2：賊王,118429.0
565,6.9, 中国大陆 / 西班牙 / 匈牙利 / 美国,"['动作', '科幻', '冒险']", 英语 / 西班牙语,2019-11-01,终结者：黑暗命运 Terminator: Dark Fate,136911.0
566,8.6, 日本,"['剧情', '爱情', '科幻', '动画']", 日语,2006-07-15,穿越时空的少女 時をかける少女,299825.0
567,6.0, 中国大陆 / 中国香港,"['剧情', '爱情', '惊悚', '奇幻']", 汉语普通话,2012-06-28,画皮2 畫皮Ⅱ,224734.0
568,7.7, 美国,"['剧情', '喜剧']", 英语,2019-11-22,触不可及(美版) The Upside,54356.0
569,8.1, 美国,"['动作', '惊悚', '冒险']", 英语 / 捷克语 / 乌克兰语 / 法语,1996-05-22,碟中谍 Mission: Impossible,204595.0
570,6.7, 美国,"['剧情', '爱情', '惊悚', '奇幻']", 英语,2009-11-20,暮光之城2：新月 The Twilight Saga: New Moon,222368.0
571,5.1, 中国大陆,"['剧情', '动作', '奇幻']", 汉语普通话,2017-07-13,悟空传,200480.0
572,8.4, 英国 / 澳大利亚 / 美国,"['剧情', '传记', '历史']", 英语,2012-02-24,国王的演讲 The King's Speech,484552.0
573,7.7, 中国香港,"['喜剧', '爱情']", 粤语,1991-02-02,整蛊专家 整蠱專家,183577.0
574,7.6, 俄罗斯,"['爱情', '奇幻', '冒险']", 俄语,2016-08-19,他是龙 Он - дракон,166037.0
575,5.9, 中国大陆,"['剧情', '爱情']", 汉语普通话 / 英语,2014-04-25,同桌的妳,227149.0
576,7.9, 美国,"['喜剧', '动画', '奇幻']", 英语,2013-11-01,精灵旅社 Hotel Transylvania,183720.0
577,4.2, 中国大陆,"['剧情', '爱情']", 汉语普通话,2016-07-08,致青春·原来你还在这里,129001.0
578,8.6, 法国,"['剧情', '同性', '历史']", 法语 / 意大利语,2019-05-19,燃烧女子的肖像 Portrait de la jeune fille en feu,97851.0
579,8.1, 美国,"['剧情', '科幻', '惊悚']", 英语,2007-12-14,我是传奇 I Am Legend,322854.0
580,7.6, 美国,"['剧情', '动作', '科幻']", 英语 / 美国手语,2014-08-29,猩球崛起2：黎明之战 Dawn of the Planet of the Apes,245341.0
581,8.8, 英国 / 美国,"['科幻', '惊悚', '冒险']", 英语 / 俄语,1968-04-02,2001太空漫游 2001: A Space Odyssey,205415.0
582,7.4, 美国 / 德国,"['动作', '犯罪']", 英语 / 西班牙语,2003-06-03,速度与激情2 2 Fast 2 Furious,113383.0
583,8.4, 美国 / 澳大利亚,"['喜剧', '动画', '冒险']", 英语,2003-07-30,海底总动员 Finding Nemo,304246.0
584,8.0, 中国大陆 / 中国香港,"['剧情', '动作', '惊悚', '犯罪']", 汉语普通话 / 粤语,2003-12-12,无间道3：终极无间 無間道III 終極無間,230636.0
585,4.5, 中国大陆 / 中国台湾,"['剧情', '喜剧', '爱情']", 汉语普通话 / 英语,2014-07-17,小时代3：刺金时代,193044.0
586,7.7, 中国大陆,"['剧情', '悬疑', '犯罪']", 汉语普通话,2013-09-13,全民目击,246002.0
587,7.2, 美国,"['动作', '科幻']", 英语 / 西班牙语 / 俄语 / 荷兰语,2011-07-21,变形金刚3 Transformers: Dark of the Moon,293946.0
588,8.6, 德国 / 美国,"['剧情', '犯罪']", 英语 / 德语 / 法语 / 意大利语,2009-05-20,无耻混蛋 Inglourious Basterds,357769.0
589,8.0, 英国,"['剧情', '喜剧', '传记']", 英语,2018-11-02,流浪猫鲍勃 A Street Cat Named Bob,143049.0
590,6.3, 中国大陆 / 中国香港,"['剧情', '动作', '犯罪']", 粤语 / 汉语普通话,2019-08-07,使徒行者2：谍影行动,163014.0
591,8.8, 日本,"['剧情', '悬疑', '犯罪']", 日语,1950-08-26,罗生门 羅生門,223092.0
592,7.1, 英国,"['剧情', '悬疑', '犯罪']", 英语,2016-01-04,神探夏洛克：可恶的新娘 Sherlock: The Abominable Bride,205005.0
593,7.8, 美国,"['剧情', '科幻']", 英语 / 俄语 / 汉语普通话,2017-01-20,降临 Arrival,340939.0
594,7.7, 印度,"['剧情', '喜剧', '传记']", 印地语,2018-12-14,印度合伙人 Padman,79435.0
595,7.0, 中国大陆 / 中国香港,"['剧情', '动作', '犯罪']", 汉语普通话 / 粤语,2016-07-08,寒战2 寒戰II,204429.0
596,7.4, 中国大陆,"['剧情', '悬疑', '犯罪']", 汉语普通话,2014-03-21,白日焰火,282025.0
597,6.8, 中国大陆 / 中国香港,"['剧情', '动作', '犯罪']", 粤语 / 汉语普通话,2016-08-11,使徒行者,172691.0
598,8.4, 英国 / 法国,"['剧情', '爱情', '悬疑', '战争']", 英语 / 法语,2008-02-22,赎罪 Atonement,248559.0
599,8.4, 韩国,"['剧情', '爱情']", 韩语,2003-01-30,假如爱有天意 클래식,337084.0
600,7.9, 中国香港,"['剧情', '喜剧', '爱情']", 粤语,2010-03-25,志明与春娇 志明與春嬌,421603.0
601,5.8, 中国大陆,['喜剧'], 汉语普通话,2013-12-19,私人订制,262162.0
602,6.9, 美国,"['奇幻', '冒险']", 英语,2016-05-27,爱丽丝梦游仙境2：镜中奇遇记 Alice Through the Looking Glass,133594.0
603,8.1, 中国香港,"['喜剧', '动作', '武侠', '古装']", 粤语,1992-07-30,鹿鼎记 鹿鼎記,230832.0
604,8.4, 中国香港,"['剧情', '喜剧', '爱情', '家庭']", 粤语,1992-01-25,家有喜事 家有囍事,181509.0
605,7.9, 美国,"['悬疑', '惊悚', '恐怖']", 英语 / 拉丁语,2013-06-08,招魂 The Conjuring,198678.0
606,7.5, 中国大陆 / 中国香港,"['剧情', '动作', '惊悚', '犯罪']", 英语 / 汉语普通话 / 粤语,2004-09-24,新警察故事,226756.0
607,6.7, 中国大陆 / 中国香港,"['剧情', '喜剧', '动作', '奇幻', '冒险']", 英语 / 汉语普通话 / 粤语 / 韩语,2005-09-23,神话,201223.0
608,8.2, 中国大陆,['动画'], 汉语普通话,1999-07-30,宝莲灯,132831.0
609,8.4, 美国,"['喜剧', '动画', '奇幻']", 英语 / 法语,2007-10-19,美食总动员 Ratatouille,271161.0
610,7.0, 美国,"['剧情', '爱情', '惊悚', '奇幻', '冒险']", 英语,2012-11-16,暮光之城4：破晓(下) The Twilight Saga: Breaking Dawn - Part 2,119280.0
611,8.8, 中国大陆 / 中国香港,"['剧情', '犯罪']", 汉语普通话 / 藏语,2004-10-01,可可西里,213047.0
612,6.9, 中国大陆,"['奇幻', '冒险']", 汉语普通话,2020-05-05,双鱼陨石,12461.0
613,5.6, 中国大陆 / 中国香港,"['剧情', '动作', '爱情', '古装']", 汉语普通话,2006-12-14,满城尽带黄金甲,190245.0
614,8.5, 美国 / 英国 / 印度 / 西班牙 / 加拿大,"['剧情', '战争']", 英语 / 法语 / 德语,2020,1917,204864.0
615,7.5, 美国 / 英国,"['喜剧', '动作', '家庭', '奇幻', '冒险']", 英语 / 意大利语 / 希伯来语 / 匈奴语 / 阿拉伯语,2007-02-14,博物馆奇妙夜 Night at the Museum,219806.0
616,6.9, 美国,"['剧情', '动作', '科幻']", 英语 / 美国手语,2017-09-15,猩球崛起3：终极之战 War for the Planet of the Apes,181913.0
617,9.0, 美国,"['喜剧', '爱情', '歌舞']", 英语,1952-04-11,雨中曲 Singin' in the Rain,151225.0
618,6.5, 美国,"['动作', '科幻', '奇幻', '冒险']", 英语 / 冰岛语 / 俄语,2017-11-17,正义联盟 Justice League,250306.0
619,7.8, 韩国,"['剧情', '奇幻']", 韩语,2017-12-20,与神同行：罪与罚 신과함께-죄와 벌,180481.0
620,5.7, 中国大陆 / 中国香港,"['喜剧', '动作']", 汉语普通话 / 粤语 / 英语 / 葡萄牙语 / 泰语 / 韩语 / 日语,2014-01-31,澳门风云 賭城風雲,139744.0
621,8.8, 日本,"['剧情', '家庭']", 日语,2008-06-28,步履不停 歩いても 歩いても,186139.0
622,6.8, 中国大陆,['喜剧'], 汉语普通话,2020-03-20,大赢家,136925.0
623,8.9, 日本,"['动画', '惊悚', '奇幻']", 日语,1997-07,未麻的部屋 Perfect Blue,191918.0
624,8.9, 日本,"['剧情', '动画', '儿童']", 日语,2010-10-16,你看起来好像很好吃 おまえうまそうだな,251574.0
625,6.9, 美国 / 德国,"['动作', '犯罪']", 英语,2006-06-16,速度与激情3：东京漂移 The Fast and the Furious: Tokyo Drift,111115.0
626,7.4, 美国 / 英国,"['科幻', '惊悚', '冒险']", 英语 / 苏格兰盖尔语,2012-09-02,普罗米修斯 Prometheus,274492.0
627,6.9, 英国 / 美国,"['喜剧', '动作', '冒险']", 英语 / 意大利语 / 瑞典语,2017-10-20,王牌特工2：黄金圈 Kingsman: The Golden Circle,286503.0
628,6.7, 美国,"['剧情', '爱情', '惊悚', '奇幻', '冒险']", 英语,2012-10-23,暮光之城4：破晓(上) The Twilight Saga: Breaking Dawn - Part 1,139419.0
629,7.8, 德国 / 法国 / 英国 / 加拿大 / 美国,"['动作', '科幻', '恐怖']", 英语,2004-09-10,生化危机2：启示录 Resident Evil: Apocalypse,173259.0
630,7.7, 中国大陆 / 中国香港,"['剧情', '动作', '战争', '冒险']", 汉语普通话 / 英语,2014-12-23,智取威虎山,318788.0
631,7.7, 美国,"['喜剧', '动作', '科幻']", 英语,2002-07-03,黑衣人2 Men in Black II,177532.0
632,6.7, 美国,"['剧情', '爱情', '惊悚', '奇幻']", 英语,2010-06-30,暮光之城3：月食 The Twilight Saga: Eclipse,168338.0
633,8.1, 法国,"['剧情', '犯罪']", 法语 / 班巴拉语,2019-05-15,悲惨世界 Les misérables,38042.0
634,5.5, 中国香港 / 中国大陆,"['喜剧', '动作']", 粤语 / 汉语普通话 / 泰语 / 四川话 / 英语,2015-02-19,澳门风云2 賭城風雲II,136621.0
635,6.0, 美国,"['喜剧', '动作', '奇幻', '冒险']", 英语,2019-12-06,勇敢者游戏2：再战巅峰 Jumanji: The Next Level,86739.0
636,7.9, 中国大陆,['剧情'], 汉语普通话,2011-11-04,Hello！树先生,137889.0
637,8.2, 中国大陆,"['剧情', '惊悚', '战争', '犯罪']", 汉语普通话 / 日语,2009-09-29,风声,407190.0
638,7.5, 韩国,"['喜剧', '动作', '灾难']", 韩语,2019-07-31,极限逃生 엑시트,121372.0
639,8.1, 美国,"['喜剧', '动画', '冒险']", 英语,2006-06-09,冰川时代2：融冰之灾 Ice Age: The Meltdown,196104.0
640,8.4, 美国,"['剧情', '爱情', '科幻']", 英语,2013-10-12,她 Her,345099.0
641,8.9, 印度,"['剧情', '家庭', '儿童']", 印地语 / 英语,2007-12-21,地球上的星星 Taare Zameen Par,152889.0
642,6.2, 中国大陆 / 中国香港,"['剧情', '武侠', '古装']", 汉语普通话,2004-07-15,十面埋伏,162450.0
643,8.7, 美国,"['动作', '历史', '战争']", 英语 / 阿拉伯语 / 索马里语,2001-12-18,黑鹰坠落 Black Hawk Down,213659.0
644,8.8, 美国,"['剧情', '科幻', '惊悚']", 英语 / 世界语,1997-10-24,千钧一发 Gattaca,178995.0
645,5.8, 俄罗斯,"['动作', '科幻', '惊悚']", 俄语,2019-03-15,前哨基地 Аванпост,2867.0
646,7.6, 中国大陆 / 法国 / 日本,"['爱情', '犯罪']", 汉语普通话 / 山西方言 / 湖北方言 / 重庆方言,2018-09-21,江湖儿女,228996.0
647,6.9, 美国 / 英国,"['爱情', '奇幻', '冒险']", 英语,2015-03-13,灰姑娘 Cinderella,185044.0
648,7.7, 中国香港,"['喜剧', '动作']", 粤语,1990-08-18,赌圣 賭聖,147445.0
649,7.9, 中国大陆 / 中国香港,"['剧情', '爱情', '犯罪']", 汉语普通话,2008-09-19,李米的猜想,255236.0
650,6.4, 中国大陆,"['剧情', '爱情']", 汉语普通话 / 英语,2019-12-20,只有芸知道,131949.0
651,8.8, 美国,"['剧情', '传记', '历史']", 英语,2016-12-25,隐藏人物 Hidden Figures,115158.0
652,8.7, 美国,['剧情'], 英语 / 意大利语,1988-12-16,雨人 Rain Man,312721.0
653,8.3, 美国,"['喜剧', '爱情', '同性']", 英语,2018-03-16,"爱你，西蒙 Love, Simon",180646.0
654,3.2, 中国大陆,"['喜剧', '冒险']", 汉语普通话,2018-08-10,爱情公寓,231281.0
655,7.9, 中国大陆 / 法国 / 日本,"['剧情', '家庭']", 英语 / 山西话 / 汉语普通话 / 上海话,2015-10-30,山河故人,213413.0
656,7.5, 中国香港 / 中国大陆,"['剧情', '动作', '犯罪']", 粤语 / 汉语普通话,2012-11-08,寒战 寒戰,303888.0
657,6.8, 美国,"['动作', '科幻', '奇幻', '冒险']", 英语 / 西班牙语 / 俄语,2016-03-25,蝙蝠侠大战超人：正义黎明 Batman v Superman: Dawn of Justice,224349.0
658,8.2, 美国,"['喜剧', '动画', '冒险']", 英语,2011-02-03,魔发奇缘 Tangled,196589.0
659,8.3, 美国,"['剧情', '传记']", 英语,2016-12-09,萨利机长 Sully,251338.0
660,8.3, 中国大陆,['喜剧'], 汉语普通话,1997-12-24,甲方乙方,215236.0
661,7.5, 韩国,"['剧情', '动作', '科幻', '恐怖']", 韩语 / 英语,2006-07-27,汉江怪物 괴물,205079.0
662,6.7, 美国,"['喜剧', '犯罪']", 英语 / 印地语 / 法语 / 德语 / 汉语普通话,2018-06-08,瞒天过海：美人计 Ocean's Eight,207972.0
663,8.6, 英国 / 美国,"['剧情', '传记', '历史', '战争']", 英语,2017-12-01,至暗时刻 Darkest Hour,270974.0
664,5.5, 中国大陆 / 中国香港,"['喜剧', '动作', '奇幻', '古装']", 汉语普通话,2017-01-28,西游伏妖篇,309516.0
665,7.4, 美国,"['喜剧', '爱情']", 英语,2020,纽约的一个雨天 A Rainy Day in New York,73742.0
666,7.3, 美国,"['动作', '科幻', '冒险']", 英语,2013-11-21,饥饿游戏2：星火燎原 The Hunger Games: Catching Fire,213025.0
667,7.1, 中国香港 / 中国大陆,"['剧情', '动作']", 粤语 / 泰语 / 英语,2017-08-17,杀破狼·贪狼 殺破狼‧貪狼,144916.0
668,8.5, 美国,"['剧情', '科幻']", 英语,2007-11-13,这个男人来自地球 The Man from Earth,289576.0
669,7.7, 英国 / 法国,"['喜剧', '动画', '家庭']", 英语,2015-03-05,帕丁顿熊 Paddington,191640.0
670,8.0, 美国 / 德国,"['剧情', '悬疑', '恐怖']", 英语 / 法语,2005-07-29,万能钥匙 The Skeleton Key,260220.0
671,8.9, 中国台湾 / 美国,"['剧情', '喜剧', '爱情', '同性', '家庭']", 汉语普通话 / 英语,1993-02,喜宴 囍宴,244257.0
672,5.1, 中国大陆,"['剧情', '喜剧']", 汉语普通话,2019-09-12,小小的愿望,111412.0
673,7.6, 美国,"['喜剧', '动作', '科幻']", 英语,2012-05-25,黑衣人3 Men in Black III,245352.0
674,6.9, 中国大陆,"['剧情', '爱情']", 汉语普通话,2010-09-16,山楂树之恋,264895.0
675,8.8, 美国,"['剧情', '爱情', '战争']", 英语 / 法语,1940-05-17,魂断蓝桥 Waterloo Bridge,203495.0
676,6.9, 中国大陆,"['动画', '奇幻']", 汉语普通话,2018-08-03,风语咒,122176.0
677,7.3, 中国大陆 / 中国香港 / 中国台湾,"['动作', '爱情', '武侠', '古装']", 汉语普通话,2010-09-28,剑雨,144351.0
678,8.3, 英国 / 美国 / 日本,"['剧情', '爱情', '传记']", 英语 / 法语 / 拉丁语,2014-09-07,万物理论 The Theory of Everything,205187.0
679,7.5, 中国大陆 / 中国香港,"['剧情', '动作', '悬疑', '犯罪']", 汉语普通话 / 粤语 / 泰语 / 英语,2013-11-29,扫毒 掃毒,199574.0
680,8.4, 中国大陆,"['剧情', '喜剧']", 汉语普通话 / 俄语,2011-07-15,钢的琴,272985.0
681,7.9, 美国,"['剧情', '家庭']", 英语,2017-09-01,伯德小姐 Lady Bird,246024.0
683,7.6, 美国,"['动画', '歌舞', '奇幻', '冒险']", 英语,2016-11-25,海洋奇缘 Moana,131225.0
684,5.9, 日本,"['动画', '悬疑']", 日语,2019-09-13,名侦探柯南：绀青之拳 名探偵コナン 紺青の拳,121586.0
685,5.5, 美国 / 中国大陆,"['动作', '科幻', '冒险']", 英语 / 汉语普通话,2018-03-23,环太平洋：雷霆再起 Pacific Rim: Uprising,198977.0
