R,F,M
787,1,111.9
705,1,49
725,2,2476
615,1,1
754,1,58
753,1,999
775,1,6999
702,1,2168
684,1,96
700,1,95
899,1,96
692,1,69
865,1,299
855,1,198
655,1,128
702,2,3565
764,2,192
821,1,49
754,1,218
779,1,247.5
703,1,5
747,1,29
810,1,9.9
663,2,2707
795,1,399
615,1,39
654,1,3499
682,1,3166
915,4,362.2
615,1,1399
772,1,99
615,1,33
719,1,39.9
878,1,99
741,1,1298
881,1,149
794,1,96
713,1,3049
784,1,599
724,1,3899
892,1,129
680,1,4699
879,1,8099
917,1,54.6
667,11,14041
663,1,599
796,2,3514
609,1,49
744,1,3188
713,1,1818
660,1,39
653,1,8988
876,1,79
628,1,2249
613,2,36.8
661,1,10
856,1,79
619,2,476
705,1,3588
862,1,16
841,1,799.5
813,1,128.9
856,1,299
712,1,199
662,1,427
653,1,25
728,1,3799
727,1,99
681,1,3588
733,2,147.9
855,1,2999
621,1,188
726,1,9
899,1,139
698,1,20.1
762,1,1148
776,1,3179
753,2,207.5
789,4,891.5
774,2,22
694,2,95.9
861,1,9
609,1,199
700,1,599
870,1,867
747,1,49
729,1,228
816,1,1248
884,1,35
761,1,1189
747,3,165.4
681,1,265.9
616,1,51.7
624,1,1258
709,1,20386
646,1,59
644,1,39.9
896,1,29
894,1,1992
765,1,29.9
648,1,99
707,1,128
740,1,199
746,1,3899
793,1,899
709,1,99
697,2,217
812,1,189
875,1,59
665,1,1116
616,1,169
884,1,196
655,1,96
885,1,79.9
865,1,10
693,1,3149
766,1,139
883,1,279
666,2,7176
732,1,239
789,1,39.9
925,3,14491
722,1,2499
751,1,128
930,3,2265
914,4,254.5
874,1,59
743,3,136.8
742,1,179
678,1,136
735,1,99
873,1,377
762,1,175
876,1,21
631,1,594
703,1,69
631,1,46
786,1,272.6
760,1,1299
863,1,498
892,1,2379
733,1,668
763,1,315
714,1,147
793,1,199
875,1,429
648,2,192
784,1,468
793,1,195
777,1,2999
776,1,39
791,1,4880
614,2,68
755,1,85
722,1,59
917,4,5589
636,1,289
735,1,98.3
715,1,469
927,3,1296
643,2,5998
749,1,24.8
654,1,49
647,1,79
920,4,6952
710,1,281
762,1,218
610,1,3999
716,1,29
612,1,29
696,1,269
661,1,919
804,1,399
688,1,59.8
822,1,599
794,1,680
775,1,199
814,1,133
739,1,69
890,1,79
775,1,137
745,1,999
740,1,3999
678,1,151.7
687,1,138
780,1,49
791,1,49
632,1,369
809,1,29
728,1,25
926,3,1975
749,1,2180
753,1,99.4
820,1,99
916,1,379
651,1,2160
883,1,3588
825,16,13211.1
618,1,9
897,1,127.9
653,1,345
621,2,5218
783,1,19
714,2,197
760,1,49
627,3,2597
779,1,59
702,1,99
683,1,49
813,1,6999
662,1,99
657,1,15.9
763,1,5699
773,1,99
868,1,11
707,1,2299
705,2,337
855,1,99
655,1,98.9
728,1,9.9
869,1,3188
619,1,1188
618,1,3399
949,1,69
887,1,4097
673,1,35.9
899,1,99
891,1,299
965,1,79
948,1,89
931,1,198
913,1,48.5
740,1,3188
755,1,69
924,3,3256
733,1,193
764,1,78
819,1,39
861,1,94
890,1,3097
688,1,32.8
659,1,110
872,1,48
701,2,6358
738,1,11
864,1,2599
778,1,147
801,1,109.8
856,1,169
748,2,74
938,1,10.1
647,3,4907
737,1,89
667,9,12514.5
921,4,12086
900,10,7465.9
927,3,844
788,1,677
659,1,49
876,1,886
793,1,1799
679,1,1109
627,1,49
765,19,6038
626,1,109
670,1,53
805,1,71.6
734,1,96
804,1,104.4
629,1,109
802,1,118
923,3,2842
712,2,117
690,1,139
856,1,95
855,1,3966
728,1,96
767,1,99
741,1,9
720,1,109
918,4,491.1
610,1,88
786,2,358
719,2,111.9
878,1,839
659,1,3788
708,1,299
770,2,5398
644,1,3
895,1,249
759,2,86
733,1,49
929,3,227.9
896,1,2499
736,1,79
662,1,96
717,5,5201
895,1,49
645,1,459
898,1,2960
929,3,9105.1
651,1,5
819,1,496
702,1,3588
619,1,79
866,2,82.8
800,1,1238
762,1,34.3
882,1,389
720,1,16.9
920,4,5449
759,2,253
754,1,2999
921,4,1566.3
736,1,79
883,1,89
609,1,198
654,1,369
883,1,839
816,1,39.9
760,1,5
744,1,19.8
823,1,3999
810,1,169
865,1,98
732,1,59
867,1,308
880,1,69
663,1,289
623,1,3799
715,1,79
609,1,39
702,1,79
609,1,155
906,13,24080
703,1,10.1
614,2,118
716,1,398
697,1,484
876,1,49.3
734,1,95
798,1,79.9
799,1,359
805,1,318
926,3,367.1
798,1,59
776,1,64
926,3,3695.9
869,1,44
805,1,33.9
616,1,430
881,4,4706.9
824,1,2299
725,1,109
760,1,39.9
735,2,4194.1
703,1,4078
694,1,3187
737,1,139
806,1,88
920,4,776.8
884,1,59
804,1,49
628,2,386.1
698,2,237
631,5,1036.9
690,1,138
644,1,59
826,16,7266
924,3,498.9
863,1,2484
623,1,25
657,1,105
683,1,3036
777,1,2348
614,1,99
877,1,55
661,2,11076
784,1,1038
680,1,699
750,1,99
766,1,7098
672,1,3399
954,1,1689
651,1,59
790,1,39
905,1,129
905,1,3299
904,1,795
904,1,189
903,1,10.1
902,1,158
902,1,168
901,1,98
901,1,2199
900,1,5858
722,1,168
751,1,39
647,1,168
820,1,1699
928,3,3416
650,1,688
632,1,59
609,1,19
701,1,9.9
658,1,4078
889,1,89
868,1,99
819,1,178
753,1,89
809,1,59
712,1,435
855,1,94
798,1,1999
843,1,507
873,1,1199
794,1,89
626,2,123
682,1,798
825,16,10830.8
813,1,399
869,1,39
866,1,2299
700,1,139
658,2,198
636,52,75485
696,1,399
783,1,198
609,1,599
758,1,69
893,1,1730
824,1,89
767,1,19.9
651,1,401
815,1,179
801,1,89
764,1,340
780,2,49.8
884,1,103
686,1,398
800,1,49
913,4,4752.4
897,1,220
718,1,96
655,1,319
744,1,148
917,4,4835
663,1,5189
614,1,699
810,4,3830
808,1,2288
790,1,69
680,1,998
914,4,5732
756,1,109
610,1,499
681,1,859
824,1,5699
735,2,178
856,1,1112
629,1,5
630,2,58.9
759,1,34.6
867,1,34.9
699,1,1
720,2,455
693,1,79
725,1,539
883,1,56.8
793,1,238
797,1,8999
611,1,2399
762,1,399
913,4,9017
767,1,227
731,1,99
868,1,3579
729,1,79
926,3,1487.9
649,1,2484
934,1,45
754,1,2249
680,1,69
856,1,448
906,14,17450.4
855,1,29.9
821,1,788
691,2,3815
718,1,9
743,1,189
778,1,186.8
750,1,68
859,1,39
756,1,39
868,2,166
726,1,1299
807,2,118.7
750,1,59
918,4,448
706,1,11
759,3,387
896,1,1299
610,2,2028
784,1,799
844,1,99
763,1,179
820,1,95
705,1,44
702,2,6666
799,1,399
870,1,999
784,1,199
795,1,138
914,4,782
709,1,938
616,1,3999
776,1,79
778,1,2588
751,2,3598
697,2,144
619,1,499
807,1,79
871,1,299
957,1,1609
939,1,97
922,1,2999
969,1,96
951,1,1799
934,1,99
916,1,802
626,1,100
865,1,88
703,1,348
632,1,378
680,1,99
773,1,99
630,1,10999
855,1,11
813,1,3999
894,1,29.8
684,1,3598
891,1,1260
965,1,119
948,1,188
931,1,96
913,1,29.9
751,1,128
721,1,9.9
791,1,2980
743,1,179
686,1,1018
856,1,129
717,1,244.5
751,1,55
626,1,496
822,1,2
813,1,189
756,1,89
729,1,140
792,1,88.9
706,1,429
661,1,95
681,1,49.4
875,1,498
782,1,66
679,1,69
871,1,199
891,1,20.1
679,1,76
613,1,89
747,1,96
644,1,8099
786,1,3999
856,1,383.4
690,1,69
855,1,199
816,1,598
738,1,2899
724,1,5
713,1,799
778,1,39
655,1,469
630,1,19.9
779,1,39
693,1,99
631,2,1717
665,6,2938.8
624,2,136.9
610,2,107
894,1,49
707,1,179
887,1,49
896,1,1045
819,1,59
888,1,179
777,1,158
875,1,4166
871,1,308
896,1,699
750,1,97
777,1,96
767,1,179
757,1,159
661,1,20.1
865,1,109
894,1,1399
611,2,5311
647,2,294
652,1,798
737,1,169
879,1,32.9
610,1,599
702,1,99
686,1,99
736,1,319
702,1,139
658,1,7966
928,3,4163
614,1,198
770,1,266
628,1,189
758,1,399
814,1,149
664,4,850.5
714,1,12.9
728,1,68
684,1,79
709,1,4245
874,1,118
757,2,248
787,4,204
680,1,399
760,1,1766
923,3,6526.9
923,3,5797
880,1,399
922,3,177.9
818,1,99
648,1,69
711,1,9
718,1,288
682,1,308
632,1,2499
869,1,2780
749,1,129
855,1,3232
973,1,2523
769,1,39
722,1,238
743,1,3588
653,1,118
893,1,1799
652,2,1055.7
823,1,199
614,1,790
750,1,888
878,4,5393.7
905,1,2189
905,1,847
904,1,408.7
904,1,3399
903,1,5
903,1,147
902,1,195
901,1,72
901,1,79
900,1,5999
845,1,96
716,1,24
798,2,118
712,3,333
690,1,159
709,1,5048
660,1,98
877,1,146.4
797,2,6338
856,1,29
649,1,118
797,1,299
961,1,1
943,1,199
926,1,3999
807,1,58
690,1,126
867,1,99
957,1,79
940,1,39.9
923,1,76.8
692,1,45
779,1,54
957,1,499
940,1,39
922,1,78
702,4,1745.9
824,1,229
951,1,999
725,1,99
963,1,69
691,1,79
661,1,99
699,1,299
917,4,10916
649,1,11
856,1,3469
620,1,29
759,1,36.9
855,1,3088
696,1,331
721,2,202.9
765,1,69
666,1,99
731,1,54
814,1,49
779,1,5199
972,1,498
955,1,496
938,1,199
920,1,108
758,1,199
617,1,498
777,1,129
655,2,158
914,4,3576
898,1,1
749,1,99
754,1,62
891,1,266
700,1,199
792,1,19
704,1,98
654,1,39.9
878,1,88
925,3,1347
855,1,178
768,1,99
721,1,98
632,1,4166
801,1,198
851,1,26
850,1,1699
848,1,339
846,1,299
844,1,1399
843,1,88
841,1,39.9
839,1,379
838,1,5
836,1,29.9
834,1,198
832,1,10.1
830,1,48.5
829,1,49
827,1,199
825,1,10.1
897,1,99
730,1,198.6
714,1,376
864,1,229
885,1,329
657,1,1339
826,16,28642.9
786,5,4610.1
796,1,99
875,1,79
919,4,9344
656,5,354.4
888,1,76.4
627,1,71
697,2,61
855,1,1799
743,2,4
750,1,4298
929,3,3049
666,1,1599
728,1,39
883,1,118
658,1,99
914,4,2594
635,1,88
685,1,96
659,2,18.9
850,1,108.9
732,2,242
716,1,69
837,1,59
769,1,189
747,1,59
612,1,469
881,1,99
659,1,159
893,1,9
678,1,2298
813,1,2690
704,1,299
915,4,2497.1
970,1,815.9
929,3,1557.9
801,1,348
692,1,54
782,1,4499
869,1,2588
781,1,6589
782,1,78
703,2,685
953,1,129
776,1,29
708,1,3
924,3,6459.2
789,1,990
913,4,612.7
658,1,259
767,1,124
667,1,3399
852,74,77306.2
936,1,9299
863,1,49
892,1,39.9
759,1,109
708,2,317
683,1,29
918,1,48
662,2,227
762,1,2699
660,1,196
755,1,199
648,1,99
659,1,39
712,2,3876
761,1,1988
750,1,4898
620,1,65
627,1,299
782,1,69
761,1,11198
732,1,178
712,1,2199
826,16,16839
689,1,125
856,1,2666
815,1,199
686,1,2799
883,1,1058
749,3,1137
716,1,25
800,1,96
773,1,39
748,1,32.8
927,3,473.9
855,1,59
629,1,29.9
710,1,1299
697,1,29.6
754,1,1999
626,2,168
900,11,11825
794,1,4499
777,1,39
619,1,59
744,1,96
703,1,3700
729,1,125
839,1,99
706,1,379
740,1,998
922,3,1233.9
701,1,98
698,8,5365.9
662,1,489
701,17,19567.9
614,2,804
704,5,5613
777,1,9.9
609,2,155
616,1,269
855,1,66.9
700,1,98.5
938,1,39
632,1,55
784,1,8.9
882,1,1999
887,1,1190
646,1,1198
768,1,95
726,1,10
687,1,79
622,1,24
879,1,10.1
711,1,10.2
645,1,99.2
804,1,48
760,1,1999
721,1,599
735,1,59
756,1,79
741,1,89
749,1,125.8
882,1,29
742,1,279
769,1,3699
780,1,69
885,1,79
611,1,3298
736,1,148
894,1,96
862,1,3799
735,1,327
927,3,2255
663,1,20.1
771,1,179
899,1,532
657,1,68
718,1,2550
745,1,3
727,2,598
724,1,2999
753,1,29.9
616,1,19
855,1,10.1
794,1,94
778,1,237
708,2,145
695,1,119
870,1,2496
914,4,3428
625,1,55
776,1,699
796,1,278
725,4,1026.6
818,1,898
744,1,1
861,1,20.1
801,1,15.9
697,1,99
816,1,338
618,2,7403.4
626,2,96.8
885,1,59
865,1,328
731,1,109
771,1,29
867,1,319
888,1,8398
705,2,58
776,1,305
657,1,1058
699,1,999
811,2,798
805,1,69
818,1,769
624,1,55
741,1,15
721,1,39
619,1,889
611,1,188
883,1,19.9
692,1,3388
614,3,4197
683,1,13.6
806,1,294.9
886,1,299
768,1,199.4
761,1,199.4
711,1,199.4
869,1,10.1
916,4,3400
917,4,1737.1
738,1,999
860,1,446
745,1,149
887,1,1099
649,1,466
704,1,199.4
814,1,199
629,1,199
890,1,39
620,1,294.9
620,1,294.9
730,1,294.9
636,52,53552.4
652,2,398.8
680,1,299
920,4,866.3
880,1,199.4
612,1,49
930,3,3653
715,1,298
856,1,7699
733,2,2496
855,1,96
691,1,49.6
657,1,199.4
709,1,158
763,1,294.9
790,1,199.4
718,1,199.4
715,1,199.4
660,1,199.4
749,1,199.4
808,1,99
859,1,10.1
626,1,45
810,1,859
751,1,99
723,1,219
677,1,9.9
619,1,1899
649,1,20.1
657,1,199.4
919,4,10379.7
919,4,870.9
876,1,199.4
741,1,199
763,1,199
716,2,398.4
795,1,294.9
736,1,199.4
889,1,199.4
678,1,199.4
754,1,199.4
701,1,299
877,1,294.9
630,1,199.4
919,4,395
627,1,39.8
877,1,1
727,1,199.4
819,1,199.4
735,1,199.4
720,1,199.4
622,1,109.9
888,1,199
806,1,100.3
620,1,101.8
752,1,1098
712,1,38
662,1,358
609,2,145
647,1,9.9
696,1,4097
855,1,89
865,1,89
754,1,79
754,1,59
930,3,3295
900,10,10610
777,2,8397
800,1,11
699,1,120.4
632,1,132
784,1,368
703,1,1248
903,1,235.9
678,2,3926.8
784,1,358
687,1,559
867,1,3064
767,1,359
727,1,219
871,2,7146
801,2,7176
695,1,88
629,1,199.4
624,1,199
814,1,199.4
792,1,199.4
742,1,199.4
693,1,11
624,2,535
755,1,59.9
735,1,3333
855,1,379
814,1,19
892,1,79
915,1,69
688,1,169
656,1,79
663,1,179
699,1,313
776,1,4599
785,2,398
610,1,1598
793,1,1456
814,1,618
657,1,9.9
883,1,79
712,2,350
920,4,14098.9
718,1,548
668,9,8879.8
726,1,2699
784,1,39
765,1,1599
786,2,194.4
793,1,3588
741,1,3588
808,1,49.3
725,1,1199
897,1,199.4
760,1,199.4
714,1,199
713,1,199.4
753,1,199.4
767,1,199.4
871,1,199.4
865,1,199.4
620,2,398.8
924,3,447.4
620,1,199
697,1,199.4
787,1,199
623,1,199.4
771,1,199.4
701,1,199.4
746,1,199.4
880,1,199.4
712,1,199.4
612,2,398.4
925,3,419.8
951,1,2298
654,1,294.9
919,4,447.2
686,1,199.4
622,1,49
796,1,6398
666,1,149
768,1,2098
621,1,231
614,1,2098
898,1,2098
889,1,48.9
805,1,1007
750,1,7464
780,1,3289
822,1,86.8
720,1,19
924,3,936.4
890,1,199.4
808,1,399
923,3,489.8
624,1,117
701,1,3999
961,1,49
943,1,9
926,1,9.9
800,1,119.8
729,1,6240
880,1,199.4
695,1,199.4
913,4,672
666,1,199.4
706,1,199.4
747,1,199.4
743,1,199.4
711,1,199.4
766,1,199.4
665,1,199.4
684,1,199.4
752,1,199.4
651,1,59
685,4,796
713,1,208.9
729,1,39.9
691,1,19.9
772,1,98.3
659,1,9.9
652,1,799
887,1,53
820,1,79
816,1,1111
721,2,118.8
766,1,1599
690,1,119
894,1,199.4
732,1,199.4
756,1,199.4
864,1,199.4
764,1,199.4
685,1,199
806,1,199.4
868,1,199.4
733,1,39.9
628,1,99
772,1,79
773,1,1198
765,1,127
789,1,1167
820,1,325.8
745,1,211
818,1,109
878,1,4599
711,1,48.5
711,1,279
766,1,96
702,1,19.9
643,1,828
619,1,11398
646,1,26
763,1,89
696,1,39.9
714,1,39.9
856,1,39
906,1,499
905,1,109
905,1,39.9
904,1,49.2
903,1,29
903,1,375
902,1,2499
902,1,9.9
901,1,877.2
901,1,99
900,1,10.1
704,1,59
624,1,58
618,1,99
919,4,534.1
737,1,49.9
701,1,95
867,1,99
759,1,39
716,2,118
752,1,49
855,1,2558
632,1,1699
816,1,79
725,1,11
819,1,15.9
771,1,99
913,4,1242
732,1,399
695,1,39.9
781,1,139
623,1,299
707,1,459
609,1,49
878,1,174
654,1,1
875,1,11
739,3,372.4
684,1,2098
871,1,654
711,1,510
757,1,327
815,1,9.9
812,1,799.5
744,1,1038
797,1,109
799,3,197.7
849,2,509
847,2,7987
846,2,2018.9
844,2,4085
842,2,1189.5
841,2,119.1
839,2,998
837,2,194.5
835,2,609.1
834,2,3318
832,2,616
830,2,6334
828,1,1499
827,1,199
825,1,9.9
718,1,249.4
708,1,39
769,1,49.9
789,1,17.9
916,4,6082
620,6,4994.7
761,1,1009
703,1,69
703,1,199.4
731,1,599
658,1,59
645,1,3986
855,1,45
692,2,124.9
743,1,2899
631,2,98.6
878,1,798
787,1,2666
644,1,1799
665,1,99
889,1,114.8
899,1,99
870,1,69
805,1,486
930,3,616.7
661,1,1687.7
876,1,3099
622,1,269
679,2,142
818,1,99
627,1,579
666,1,99
735,1,1699
864,1,136.5
891,1,99
630,1,69
807,1,79
769,2,648
864,1,10.8
812,1,398
679,2,30
734,1,39
779,1,38
752,1,362
632,1,5.5
610,3,338.3
919,4,397.1
706,1,699
658,2,1585
805,1,99
882,1,96
751,1,9
739,1,199
730,1,1
930,1,90
821,1,99
891,1,141
914,4,4345.9
793,1,31.9
766,1,1399
682,2,3158
967,1,96
950,1,69
932,1,39
915,1,2799
906,14,11937.6
774,1,248
762,1,198
877,1,9.9
644,3,394.9
713,1,2799
866,1,3999
752,1,99
822,1,598
809,1,99
895,1,59
771,1,90
958,1,9.9
941,1,2545
924,1,4350
881,1,389
717,1,288
723,1,39
697,1,99
933,1,8489
612,2,97
698,1,1058
701,2,128
754,2,148
723,1,1
658,1,59.9
651,1,96
733,1,39.9
900,1,3179
806,1,799
855,1,48
616,1,96
812,1,2499
862,1,55
711,1,99
796,1,3588
786,1,3588
657,1,3588
646,1,99
700,1,119
625,1,69
701,1,3099
785,1,418
736,1,126.4
628,1,899
869,1,839
734,1,49
889,1,1149
731,1,1099
717,1,299
722,1,5766
888,1,4299
708,1,422
812,1,9
612,1,26.9
807,1,69
625,1,189
803,1,29
658,1,298
692,1,199.4
762,1,199.4
863,1,4688
706,1,336.7
891,1,59
812,1,339
888,1,99
611,3,2447.7
723,1,10
773,1,9.9
711,2,398.4
809,1,199
690,2,398.4
885,1,199
725,1,199.4
778,1,199
761,1,199.4
822,1,199
852,74,75089.5
715,1,199.4
621,1,199.4
823,1,129
871,1,22
614,1,256
920,4,4258.6
727,1,2388
643,1,559
924,3,160.5
704,1,576
735,1,279
771,1,99
884,1,998
624,1,9.9
689,2,122.8
613,1,888
759,1,119
973,1,204.9
716,1,3
804,1,1298
681,1,103.9
727,1,79
694,1,96
818,1,129
740,1,5
646,1,99
644,1,119
791,1,96
664,1,32
609,1,156
652,1,190
612,1,2588
785,1,18.9
610,1,155
821,1,59
680,1,39
928,3,2092
792,1,349
780,1,59
740,1,96
795,5,11086.9
621,1,2490
610,1,68
732,1,9
864,1,25.9
753,1,1999
749,1,18
705,1,1398
687,1,4078
632,1,10.1
891,1,395
856,1,129
706,1,99
752,1,85
855,1,48.5
808,1,337
701,1,3080
730,1,125
731,1,39.9
943,1,498
855,1,3099
654,1,59
723,1,109
752,1,88
900,10,9744
746,1,12.9
754,1,79
768,1,129
889,1,2189
686,1,2098
691,1,2098
913,4,7281.2
725,1,95
966,1,299
949,1,596
932,1,399
914,1,298.5
882,1,96
703,1,240
813,1,2599
820,1,39.9
713,1,1058
632,1,18
733,1,3588
643,2,348
719,1,498
692,1,19
891,1,6199
801,2,788
677,1,79
919,4,1720.9
612,1,158
709,1,65
612,1,3699
887,1,49
855,1,9.9
743,1,254
879,1,118
750,1,5399
753,1,245
777,1,104.9
921,4,376.8
760,1,199.4
722,1,199.4
913,4,1599.8
609,1,1058
789,1,399
720,1,598
678,1,99
824,1,666
699,1,96
762,1,436
785,1,399
753,1,199
663,1,3588
861,1,12.9
874,1,79
817,1,69
825,16,11927.9
769,1,639
655,1,50
775,1,398
822,1,3588
823,1,32.9
613,1,1799
815,1,1640
729,1,788
732,1,59
783,3,1093
760,1,353
799,1,99
644,1,49.9
824,1,79
618,1,299
710,1,4288
735,1,59.9
623,1,99
781,1,20.1
709,1,1750
712,1,139
751,1,206.8
819,1,99
804,1,59
669,1,4399
906,1,96
905,1,199
905,1,96
904,1,69
903,1,68
903,1,22.8
902,1,109
902,1,188
901,1,39.9
901,1,34.9
900,1,88
618,1,679
618,1,39
755,1,10.1
749,2,278
617,1,12.9
677,2,157
700,1,3588
654,1,108
925,3,4125
710,1,10488
789,1,32.8
715,1,49
882,2,148.9
810,1,96
614,3,320.1
626,2,30.2
891,1,59
715,1,9
715,2,4147
863,1,4197
808,1,11
879,1,55
617,1,206.6
686,2,78.9
632,1,249
856,1,1150
771,1,898
811,1,96
767,1,204.2
628,1,9.9
791,1,98
743,1,4378
855,1,950
820,1,179
967,1,179
950,1,78
933,1,7666
915,1,29
873,1,512
613,2,192
774,1,6
696,17,3391.8
765,1,199
803,1,99.2
733,1,1499
761,1,13
787,1,39.9
816,1,96
650,1,498
923,3,286.1
825,16,8004.9
720,1,10.1
855,1,3179
645,1,188
609,1,428
921,4,1646.9
719,1,9.9
710,1,59
789,1,99
663,1,69
628,1,49
717,1,96
776,1,109
702,1,99
694,2,117
780,1,294.9
717,1,99
702,1,338
710,2,2393
809,1,499
821,1,29.9
928,3,916.8
757,1,9.9
723,1,38.8
775,1,11
820,1,69
695,2,88.9
803,2,208
632,1,293
799,1,296
872,1,2199
676,2,1256
675,1,10.1
674,1,3199
673,1,19.9
672,1,96
671,1,11
670,1,3149
669,1,79
667,1,5858
855,1,48.5
740,1,142.8
623,1,16
874,1,95
731,1,96
647,1,75.9
697,1,95
652,1,2198
738,1,4288
726,1,88
806,2,297.9
731,1,28
881,1,35.9
703,1,799
782,1,248
969,1,11.1
693,1,79.9
919,4,1734
723,1,8.9
869,1,83
958,1,119
941,1,499
923,1,115.6
803,1,1398
745,1,59
657,1,106
755,1,298
972,1,4699
955,1,98
938,1,29
920,1,659
662,1,1888
746,1,188
651,1,178
742,1,6294
810,1,15.9
789,1,175
648,1,1832
609,1,5999
776,1,3180
812,1,3130
764,1,96
757,1,69
820,1,10.1
713,1,1748
632,1,48
654,19,7994
929,3,304.2
622,1,309
855,1,72.9
856,1,69
855,1,859
839,1,4299
843,1,79
632,1,88
855,1,39.8
611,1,446
611,2,192
799,1,5599
679,1,10.1
959,1,25
718,1,95.9
957,1,149
940,1,799
922,1,2499
677,1,95
615,1,199
739,1,99
656,1,20.1
622,1,135
624,1,96
738,1,1288
723,3,267.9
946,1,71
929,1,399
874,1,89
888,1,9.9
736,1,199.4
783,1,89.9
748,1,836.9
657,2,157
753,1,9
750,1,799
664,2,238
709,2,157
678,1,1180
806,1,148
696,1,39.9
914,4,592.1
646,1,35.8
790,1,1430
891,1,199
811,1,199.4
660,1,199.4
818,1,199.4
682,1,199
885,1,199
745,1,199
764,1,199.4
972,1,139
632,1,10.1
855,1,3098
659,1,159
712,1,399
764,2,15107
955,1,3588
938,1,69
920,1,95
800,1,5295
741,1,9.9
856,1,108
798,1,599
855,1,4698
897,1,579
798,1,3348
800,1,39.8
680,1,3766
884,1,19.9
929,3,7456
610,1,3557
898,1,680
786,1,3727
706,1,3966
609,2,1396
684,1,49.6
821,1,39
707,1,80
688,1,1899
754,1,239
656,3,49
880,1,316
973,1,99
956,1,88
938,1,3599
921,1,2499
855,1,45
632,1,199
666,1,49
706,1,1848
653,1,998
787,1,696
658,2,58.9
887,1,99
730,1,109
874,1,398
612,1,5897
859,1,99
889,1,139
784,1,55
798,1,9.9
610,1,3588
657,1,10.1
666,1,10.1
664,1,360
851,1,29.7
780,1,10.1
777,1,3588
876,1,149
965,1,10.1
720,1,5078
683,1,2
869,1,10.1
648,2,328.9
869,1,145
778,1,299
895,1,3588
730,1,339
740,1,3699
711,1,9.9
688,1,99
809,1,2638
690,2,98.7
747,1,39
708,1,9.9
799,1,96
798,1,39
757,1,89
897,1,3088
706,1,2099
627,1,1152
823,1,65
700,1,6699
681,1,36.9
881,1,95
755,1,129.9
610,1,10.1
774,1,11
928,3,1582
929,3,133.9
650,1,3588
687,1,11
810,1,10.1
802,1,6495
649,2,5281
801,1,9.9
736,1,9.9
621,1,69
880,1,99
685,1,110
610,1,79
781,1,50
810,1,1299
773,1,3799
896,1,5078
921,4,3330
864,1,3588
789,1,38
754,1,179
893,1,39.9
757,2,7299
654,1,299
656,1,11
736,1,69
875,1,19.7
697,1,9.9
647,1,39
710,1,654
716,1,99
711,1,29
842,1,899
685,1,139
676,1,59
675,1,598
674,1,435
673,1,479
672,1,649
670,1,5599
669,1,1999
668,1,9.9
667,1,59
699,1,108.5
646,1,159
631,1,11.1
692,1,44660
625,1,99
766,1,899
807,1,1
954,1,6888
628,1,9.9
688,1,10.1
804,1,10.1
896,1,29.9
738,1,216
742,5,2611
882,1,20.1
713,1,9.9
756,1,20.1
782,1,10.1
761,1,20.1
880,1,3588
805,1,19.7
613,1,2388
709,1,159
686,1,59
925,3,484.1
701,1,10.1
770,2,135.9
758,1,9.9
760,1,5858
752,1,198
887,1,2799
739,1,4699
644,2,308
882,1,1296
863,1,10
740,3,108.8
885,1,69
870,1,96
776,1,19.5
698,1,758
762,1,399.7
782,1,1299
782,1,49.9
616,1,3199
776,1,139
779,1,498
813,1,99
899,1,98.7
864,2,7176
668,9,2242.8
612,1,69
719,1,138
771,1,3588
690,2,98
921,4,6774
646,1,1498
717,1,177
799,1,96
893,1,1152
917,4,1657
677,1,585
818,1,649
895,1,6999
643,1,3098
758,1,4688
702,1,3588
774,1,204
626,4,435.8
631,1,3588
885,1,99
887,1,59
689,1,3588
658,4,6976.1
792,1,99
801,1,11
680,1,1538
866,1,99
655,2,164
894,1,22.9
744,1,66
800,1,11
784,1,388
808,1,488
620,1,399
765,1,119
732,1,4015
807,1,39.8
663,1,5288
623,1,179
888,1,180.8
652,1,238
735,2,776
659,3,136
742,1,9
751,1,3588
866,1,138
870,1,20.1
790,1,3149
752,1,48
628,1,99
824,1,204.8
618,1,3588
609,1,229
730,2,70
867,1,299
612,2,1135.9
763,1,2098
699,2,240
818,1,338
741,1,1568
795,1,1699
630,1,359
779,1,59.9
770,1,99
747,1,288
782,1,7196
614,1,899
865,1,3588
730,1,49
787,1,59
624,1,244
649,1,96
868,1,19
776,1,19
973,1,99
956,1,19.8
938,1,39
921,1,99.5
660,1,89
664,1,2399
796,1,29.8
777,1,3999
781,1,89
872,1,300.7
746,1,39.9
643,3,1125
643,1,288
643,1,499
643,1,99
642,1,618
642,1,1520.4
642,1,1899
642,1,12
642,1,99
642,1,2468
642,1,199
641,1,29
641,1,97
641,1,175
641,1,1899
641,1,859
641,1,264
640,1,168
640,1,269
640,1,98
640,1,340
640,1,49
640,1,1699
640,1,95
640,1,1194
639,1,651.8
639,1,79
639,1,89
639,1,96
639,1,399
639,1,99
639,1,49
638,1,49
638,1,49
638,1,299
638,1,99
638,1,96
638,1,99.2
638,1,111.9
637,1,294.9
637,1,1988
637,1,1199
637,1,33
637,1,4078
637,1,3333
637,1,338
636,1,179
636,1,297
636,1,9.9
636,1,1898
636,1,179
636,1,97
636,1,2480
965,1,1199
948,1,479.7
931,1,1049
914,1,29.9
784,1,98
618,1,1480
740,1,11
707,2,1656
801,1,148
718,1,168
628,1,29
680,1,64
869,1,49
744,1,219
862,1,1988
884,1,99
